Attack,RandomForest,XGBoost,GRU,GAT,RAVEN-X
Acceleration Multiplication,0.8533998752339363,0.8440826549780839,0.8289891926255563,0.8059149722735675,0.7718204488778054
Constant Position Offset,0.02179062055897679,0.010362694300518135,0.0019093078758949881,0.007593735168485999,0.012304779933743492
Constant Speed Offset,0.899582509338607,0.9115140922001311,0.9645120405576679,0.8949812071633871,0.9528706083976007
Data Replay,0.0700474279460051,0.06939830195644149,0.29639431028779356,0.06103461109043543,0.27433924389427905
DoS,0.9913793103448276,0.9862778730703259,0.9933088711418088,0.9937378535953357,0.9971830985915493
Feigned Braking,0.9350282485875706,0.9238770685579196,0.9705593719332679,0.9279845335911068,0.9272369714847591
Position Mirroring,0.018461538461538463,0.013942680092951201,0.001583531274742676,0.016191210485736313,0.0023612750885478157
Random Position Offset,0.9458646616541353,0.9461190655614168,0.9753749305684133,0.946435307431158,0.9779179810725552
Random Speed Offset,0.8736214066172482,0.8709618543529841,0.892128279883382,0.8667409057164068,0.887611082070047
Reversed Heading,0.0077628793225123505,0.006335797254487857,0.002847988608045568,0.23714213326577147,0.24799416484318015
Sudden Constant Speed,0.7307692307692307,0.7252298263534218,0.8376560999039385,0.7075664621676891,0.8248587570621468
Sudden Stop,0.9786718371303926,0.9812879708383961,0.9926108374384236,0.98681640625,0.9916297390448056
Time Delay,0.9923728813559322,0.99447983014862,0.994268732753131,0.9970212765957447,0.9980822501598124
Traffic Congestion Sybil,0.992080745341615,0.9917727413846632,0.9975019516003123,0.9958700225979895,0.9958693788481022
Zero Speed Report,0.9903468001430104,0.9924758151200287,0.9974792942023767,0.995507637017071,0.9962237007732422
