Attack,Precision,Recall,F1
Acceleration Multiplication,0.816622691292876,0.7316784869976359,0.7718204488778054
Constant Position Offset,0.24074074074074073,0.006313744536182613,0.012304779933743492
Constant Speed Offset,0.9933005806163466,0.915603128859613,0.9528706083976007
Data Replay,0.9579439252336449,0.16009371339320577,0.27433924389427905
DoS,0.9986979166666666,0.9956728688879273,0.9971830985915493
Feigned Braking,0.9102316602316602,0.9448897795591182,0.9272369714847591
Position Mirroring,0.0967741935483871,0.001195219123505976,0.0023612750885478157
Random Position Offset,0.9973504920514762,0.9592282489989079,0.9779179810725552
Random Speed Offset,0.8442161087172688,0.9357090374724467,0.887611082070047
Reversed Heading,0.38288288288288286,0.18338727076591155,0.24799416484318015
Sudden Constant Speed,0.8812877263581489,0.7752212389380531,0.8248587570621468
Sudden Stop,0.9896805896805897,0.9935865811544153,0.9916297390448056
Time Delay,0.9965957446808511,0.9995731967562953,0.9980822501598124
Traffic Congestion Sybil,0.9930059061237178,0.998749413787713,0.9958693788481022
Zero Speed Report,0.9924758151200287,1.0,0.9962237007732422
