Test,Model,Seed,F1,Recall,PR-AUC,ECE,in-domain F1,in-domain Recall,in-domain PR-AUC,in-domain ECE,ΔF1 (cross - in)
Urban → Highway,RandomForest,0,0.8146160765436131,0.8180109640103497,0.8572079340354668,0.06808061726683423,0.8659354448517255,0.8163700309069594,0.8919425697570513,0.03069881951320811,-0.051319368308112345
Urban → Highway,XGBoost,0,0.8047806831590615,0.8202157400706986,0.8589354359225604,0.03493420431448918,0.865612927875023,0.8149312586592774,0.8940673391385011,0.006884815538820977,-0.06083224471596149
Urban → Highway,GRU,0,0.7951840251070718,0.8382782443006409,0.862344870212678,0.04220573597440807,0.8867942086104497,0.8632846637535969,0.9260045341986822,0.009468224583573517,-0.0916101835033779
Urban → Highway,GAT,0,0.725769969348942,0.8185263662062754,0.8619456678167182,0.059215070877161206,0.8787931004773146,0.8152882873281466,0.9074396448081931,0.005994427276864759,-0.15302313112837262
Urban → Highway,RAVEN-X,0,0.8048116984418368,0.8359459192120073,0.8930994484898955,0.056241429283308414,0.907833302579415,0.8651603964616861,0.9404004430614931,0.010814603110875442,-0.10302160413757822
Urban → Highway,RAVEN-X-GF,0,0.772698453834869,0.8692440247184811,0.8991859933721879,0.07499009778459857,0.9177139098398941,0.8847117126718533,0.943359876124722,0.017204389532940116,-0.14501545600502508
Low → High density,RandomForest,0,0.8123954880627688,0.7786037900506074,0.8583084204695434,0.18340838064256357,0.798681907115642,0.7814890784123214,0.8465367881977797,0.13796995497788422,0.013713580947126824
Low → High density,XGBoost,0,0.8208019302254204,0.7851978419466522,0.8669143074714921,0.037433460795780284,0.7960117611580217,0.7598906041959048,0.85396262659252,0.02992848841864671,0.024790169067398615
Low → High density,GRU,0,0.7152770884596832,0.8374894482935801,0.7868443141352818,0.06284839729310356,0.8243023929191898,0.8297959624311778,0.8853828071577811,0.015883213864820066,-0.10902530445950664
Low → High density,GAT,0,0.6022062166358342,0.8588783179254632,0.8424361831367294,0.21840832189592452,0.8417568023498124,0.7631364928568858,0.8747804284329657,0.018981585843243505,-0.23955058571397825
Low → High density,RAVEN-X,0,0.6814463874247414,0.859885572605935,0.8377240199542044,0.14855479166565638,0.8672154549984825,0.8328907121522905,0.9142169213231065,0.03642051162200092,-0.18576906757374112
Low → High density,RAVEN-X-GF,0,0.6676280850961016,0.9014603153889756,0.888384066311194,0.157093858769076,0.8714668131982372,0.8446507610925186,0.9182895272655349,0.03319310242161265,-0.20383872810213555
