Attack,RandomForest,XGBoost,GRU,GAT,RAVEN-X,RAVEN-X-GF
Acceleration Multiplication,0.744 ± 0.004,0.779 ± 0.005,0.728 ± 0.017,0.815 ± 0.016,0.631 ± 0.078,0.782 ± 0.028
Constant Position Offset,0.746 ± 0.004,0.745 ± 0.003,0.815 ± 0.01,0.756 ± 0.004,0.83 ± 0.009,0.838 ± 0.011
Constant Speed Offset,0.881 ± 0.003,0.887 ± 0.003,0.904 ± 0.015,0.915 ± 0.005,0.927 ± 0.014,0.932 ± 0.006
Data Replay,0.363 ± 0.001,0.352 ± 0.003,0.777 ± 0.011,0.275 ± 0.008,0.792 ± 0.013,0.781 ± 0.013
DoS,0.923 ± 0.007,0.922 ± 0.005,0.921 ± 0.014,0.981 ± 0.005,0.973 ± 0.007,0.968 ± 0.008
Feigned Braking,0.742 ± 0.007,0.8 ± 0.009,0.777 ± 0.025,0.879 ± 0.014,0.844 ± 0.014,0.842 ± 0.014
Position Mirroring,0.313 ± 0.008,0.319 ± 0.008,0.609 ± 0.017,0.273 ± 0.019,0.579 ± 0.015,0.621 ± 0.024
Random Position Offset,0.921 ± 0.006,0.921 ± 0.004,0.919 ± 0.013,0.964 ± 0.005,0.958 ± 0.006,0.954 ± 0.007
Random Speed Offset,0.907 ± 0.005,0.903 ± 0.004,0.906 ± 0.012,0.932 ± 0.007,0.934 ± 0.007,0.931 ± 0.006
Reversed Heading,0.912 ± 0.005,0.907 ± 0.004,0.903 ± 0.014,0.943 ± 0.005,0.935 ± 0.008,0.93 ± 0.008
Sudden Constant Speed,0.564 ± 0.012,0.59 ± 0.014,0.587 ± 0.037,0.714 ± 0.018,0.724 ± 0.033,0.727 ± 0.033
Sudden Stop,0.81 ± 0.011,0.812 ± 0.01,0.769 ± 0.039,0.738 ± 0.086,0.75 ± 0.061,0.828 ± 0.041
Time Delay,0.059 ± 0.003,0.058 ± 0.003,0.053 ± 0.005,0.014 ± 0.003,0.023 ± 0.011,0.014 ± 0.008
Traffic Congestion Sybil,0.942 ± 0.003,0.917 ± 0.005,0.912 ± 0.012,0.993 ± 0.001,0.99 ± 0.004,0.99 ± 0.002
Zero Speed Report,0.923 ± 0.006,0.92 ± 0.004,0.914 ± 0.017,0.958 ± 0.003,0.949 ± 0.005,0.947 ± 0.009
