Model,Seed,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,Threshold,TrainTime_s
RandomForest,0,0.9265777803047532,0.8456932398716882,0.7684551441217748,0.8052262443438915,0.9052166776539208,0.8487239134370393,0.1379920708778804,0.0945231505029919,0.7778436140313075,236.28245329856875
XGBoost,0,0.9216553900386628,0.8216928130660363,0.7705207096333081,0.7952844519883968,0.9061998498318056,0.8544705382223364,0.0316942076078978,0.0651464177670495,0.5640228390693665,6.445307731628418
GRU,0,0.9336834773709348,0.8386788990825688,0.8224117456547555,0.8304656697977798,0.937061789705515,0.888488254074269,0.0149114926941305,0.0531080652292192,0.4271000325679779,121.689964056015
GAT,0,0.943693143052081,0.9415854612703606,0.762186476663428,0.8424410441616915,0.9140665158795662,0.8747531628772746,0.0175245451666152,0.0505543503808693,0.5494704842567444,136.70120549201965
RAVEN-X,0,0.9492395383215828,0.9138497803149354,0.8203173917737234,0.8645612491419166,0.9438837496561896,0.9119704925714766,0.0285896335402122,0.0499089119057806,0.8467250466346741,252.2639489173889
RAVEN-X-GF,0,0.9549010689106208,0.9220310962408974,0.84293065601497,0.8807083505658533,0.9455111105786778,0.9199353045082734,0.0224295196512407,0.039342014216644,0.4741135835647583,224.2694787979126
RandomForest,1,0.9268123152149192,0.8465031141539485,0.7688437871100076,0.8058066779058848,0.9057305102890671,0.8485988784128055,0.1370065356631955,0.0935704031234472,0.7747494818944679,231.69241213798523
XGBoost,1,0.925110871048442,0.8408665207185705,0.7657274461117708,0.8015398871452571,0.9067416635625362,0.8564686495980927,0.031642366452833,0.0639902943629985,0.5944704413414001,7.339348077774048
GRU,1,0.9354375142142368,0.8605730676701006,0.8032386915686063,0.8309180182628344,0.940066607067807,0.894759470344116,0.0327628617469602,0.0562947815422092,0.7059216499328613,128.6072018146515
GAT,1,0.9426242324312032,0.9280355002865728,0.7691316708049948,0.841144593249088,0.9166454799762114,0.8767855125937326,0.0181888393614064,0.0512886585946291,0.541655421257019,140.05982661247253
RAVEN-X,1,0.9536161018876508,0.9366216271715472,0.8206772463924574,0.8748245042003913,0.9468949778389516,0.9172590945533112,0.0260922552939207,0.046286580732256,0.8949267864227295,262.4440610408783
RAVEN-X-GF,1,0.9498479076643166,0.8971845880333497,0.8426283781352334,0.8690511095193382,0.9441876208267894,0.9162014250769456,0.0517873973357335,0.0516709311583879,0.7651382088661194,371.6695017814636
RandomForest,2,0.9211323061178076,0.8092852272390383,0.7858649105761273,0.7974031379966334,0.9053381497921248,0.8492865615870979,0.1374152094855584,0.0943619786687725,0.7233954805294396,229.4640057086945
XGBoost,2,0.9227171935410508,0.8282859649259003,0.767886573824175,0.7969435086906834,0.9068518137435262,0.8558259443711697,0.0328565768586598,0.0651997414109524,0.5822176337242126,7.540844917297363
GRU,2,0.9343728678644532,0.8341292650776844,0.8334448882651408,0.8337869362363919,0.9408715048040576,0.8972669877801892,0.0157236776338822,0.0510602384416669,0.4252497553825378,160.65521502494812
GAT,2,0.9438523425062544,0.9357679970552664,0.7684551441217748,0.8438985642983319,0.9165708809202344,0.8774196756648289,0.021368905875724,0.0510371293250913,0.605563223361969,153.56353974342346
RAVEN-X,2,0.947108824198317,0.8996032837110648,0.8241750332865523,0.8602388822115384,0.9435536689716786,0.9104974055157564,0.0472885453435898,0.0587218560554702,0.900602400302887,359.6818647384644
RAVEN-X-GF,2,0.951171253127132,0.9124232076528158,0.8326891935657994,0.8707346809759622,0.9436598088204896,0.915914161749591,0.0386742120402491,0.0493292552902422,0.8613633513450623,319.7956256866455
RandomForest,3,0.9235003979986356,0.8230686320647306,0.7804239087408686,0.8011792043326155,0.9054978955786988,0.8476346013895153,0.1375795727552547,0.0941591152508389,0.7423565971918877,236.49190020561215
XGBoost,3,0.9232431203093018,0.8301989473438702,0.7685487063226456,0.7981851613771247,0.9068356844039588,0.8555575988975321,0.0328319161013118,0.0647306509293614,0.5720847249031067,7.234678030014038
GRU,3,0.9330367295883556,0.8329067853750843,0.82681636618806,0.8298504012655576,0.9394697798949696,0.8922008283958454,0.0302050583823042,0.0556946260828018,0.5535288453102112,169.9832262992859
GAT,3,0.9437855355924494,0.9315491954881342,0.7721040699557379,0.8443653879452832,0.9153133526617794,0.8756549610707076,0.0191526034293287,0.0506586586102422,0.5425797700881958,152.45007586479187
RAVEN-X,3,0.9514342165112576,0.9279727477698264,0.817553708301846,0.869270767570794,0.9419785568746863,0.9118464806951986,0.053360092440071,0.0602666765300439,0.928186058998108,399.0101835727692
RAVEN-X-GF,3,0.9539956220150102,0.9172604412985264,0.8431177804167116,0.8786277605481158,0.944155276750104,0.9178332757474896,0.0287549053260551,0.0425898196724716,0.5722181797027588,256.31007194519043
RandomForest,4,0.9239694678189676,0.8284646843577996,0.7756306452193313,0.8011775682175527,0.9052590780283096,0.8476456250075859,0.1373791283786239,0.0942036346774923,0.7576738816738817,228.11967635154724
XGBoost,4,0.9212460200136456,0.8138430559312355,0.779560257655907,0.7963328517811915,0.9077034127662011,0.8555377732782168,0.0322109949068393,0.0647662158498647,0.5329886674880981,6.753515958786011
GRU,4,0.93090601546509,0.8204495147284182,0.8323005505775667,0.8263325437571678,0.935960466779197,0.8858861526248638,0.0209826568184391,0.0551876821262322,0.4298184216022491,164.08726978302002
GAT,4,0.9389455879008416,0.9072150953641483,0.7695706934398503,0.8327434007375131,0.9139773629534528,0.8729690342033242,0.0386544900532021,0.059288388177626,0.6934233903884888,243.21984696388245
RAVEN-X,4,0.953179724812372,0.9307996163662076,0.8242110187484256,0.8742685482424164,0.944683246236421,0.914445930583076,0.0250039653400635,0.0445336116678059,0.7928428649902344,245.91736364364624
RAVEN-X-GF,4,0.9569322833750284,0.9539627624013906,0.8215840800316672,0.8828385709700746,0.9446220488210456,0.9184567428568664,0.0369887059599255,0.0458996033558828,0.9467220902442932,299.3559675216675
RandomForest,5,0.9236595974528088,0.825967907239992,0.7772283997265105,0.8008572774026571,0.9052961891596654,0.8475251054583807,0.1374162039376897,0.0941891252180488,0.7541551481570832,230.40103721618647
XGBoost,5,0.9233369342733682,0.8370696969937274,0.7597034797941632,0.7965123298421418,0.9057987302984796,0.8537047718872243,0.0321496264906742,0.0655794343435049,0.6055106520652771,6.139165878295898
GRU,5,0.9343813964066408,0.8451545701424799,0.8175393141170967,0.8311176147795866,0.9381106848143982,0.890781803140973,0.0160802054364672,0.0529260336346265,0.5110286474227905,119.4127869606018
GAT,5,0.9447108824198316,0.9438135457884558,0.7656338839109,0.8454376755848192,0.9177450993750168,0.8783496062238844,0.0204408121881877,0.0508418726280873,0.6539844870567322,176.06330037117004
RAVEN-X,5,0.9493745735728906,0.913696600872803,0.8212386195976825,0.8650039798355001,0.9457745163898036,0.9137824997009472,0.0256052934692688,0.0481822337120309,0.7801788449287415,293.71914744377136
RAVEN-X-GF,5,0.9519047077552876,0.9171621117470096,0.8315880384324733,0.8722813162920967,0.9451717707040024,0.9172540153160252,0.0458805529732928,0.0490957443115688,0.8927425742149353,341.13349080085754
RandomForest,6,0.9255571980896066,0.8359370755822526,0.7752204109539746,0.8044346858453013,0.9053837025458772,0.8473630120221489,0.1375693674565209,0.094051803489446,0.7601506451065276,225.6235752105713
XGBoost,6,0.9241258244257448,0.8386338451796739,0.7625535283745367,0.7987862110560341,0.9066086800347264,0.8556283446759759,0.0315097623385449,0.0645637262466446,0.603473961353302,6.783454895019531
GRU,6,0.9198416534000456,0.7779304029304029,0.8314944762316024,0.8038210932417719,0.9336039049919622,0.8696815957507824,0.0442667834915276,0.067105551548812,0.5590119361877441,118.58450412750244
GAT,6,0.9435410507163976,0.9357516138948664,0.7667782215984742,0.8428797468354431,0.9150023924810752,0.8764880980304345,0.0173942207419831,0.0500523284058801,0.5210738182067871,147.93209290504456
RAVEN-X,6,0.9561831930861951,0.9449158470844822,0.8263125697218324,0.881643309656364,0.944828283114046,0.9173316634191612,0.0143332051876394,0.0404172752024101,0.7266219854354858,294.9247405529022
RAVEN-X-GF,6,0.9545769843074824,0.9227911829095766,0.8403181114829609,0.8796257232401157,0.9453547238898836,0.9194662736134048,0.0332437047657414,0.0450557134044208,0.824635922908783,339.7003495693207
RandomForest,7,0.9258628041846714,0.8389679576309581,0.7729893123178236,0.8046283567385742,0.905502933944917,0.8481475008776983,0.1368956503636587,0.0936224643454442,0.7664076954707177,225.24960160255432
XGBoost,7,0.9222992949738458,0.8267591982320784,0.7673755802655727,0.795961330297488,0.9063945137192336,0.8549246498704761,0.0317681973787884,0.0651786707787695,0.5827875733375549,6.137913465499878
GRU,7,0.9368162952012736,0.8599387493905412,0.8124005901615747,0.8354940064912716,0.9385116576141074,0.8949666200951072,0.0145887336508133,0.050781993304289,0.4941586256027221,115.99191999435423
GAT,7,0.943806856947919,0.9339316269162272,0.7699449422433337,0.8440469756561325,0.9163242729945958,0.8764620318446261,0.0186609351726808,0.0500876692698361,0.4981390535831451,162.41307663917542
RAVEN-X,7,0.951354616784171,0.9350148713091736,0.8099895642160567,0.8680233387708196,0.9448625923032156,0.9143195957773992,0.0296736997852825,0.0498544642711974,0.9199153780937196,244.1976268291473
RAVEN-X-GF,7,0.9499033431885376,0.8956935827285423,0.8447155349238907,0.8694579638642577,0.9448345633268734,0.9181941456005605,0.0300005073582712,0.0453719857019565,0.4998881816864013,298.74870204925537
RandomForest,8,0.9261371389583808,0.8412705886045654,0.7715930763971356,0.8049267593155693,0.9053491071875926,0.8482916824179747,0.137358847370196,0.094223147921416,0.7704809831980884,226.5298638343811
XGBoost,8,0.9236510689106208,0.8334428743564465,0.7666270826586059,0.7986399301220989,0.9058898587775304,0.8554682958991332,0.0313754026833112,0.0644081362014498,0.5832216739654541,5.988361835479736
GRU,8,0.933433306800091,0.8338189461477132,0.8279679009680089,0.8308831229799758,0.9383908300495744,0.8915323717343446,0.0268569540642137,0.0548838325070608,0.5244603157043457,142.34352469444275
GAT,8,0.9429852740504888,0.9380939716312056,0.7615747238115801,0.8406681364078731,0.9155255147481458,0.8749501029462321,0.0132064719884528,0.0502142805617375,0.5084326863288879,117.11870217323305
RAVEN-X,8,0.9510689106208778,0.9160238498953184,0.8281694195545,0.8698840356208706,0.945803600329924,0.9152754606715824,0.0275980386850295,0.0449886401130081,0.6556653380393982,249.70984292030332
RAVEN-X-GF,8,0.9557496588583124,0.9254897627354096,0.8438878693008025,0.8828071179307255,0.946769429156466,0.9218229722671502,0.0151908064108152,0.0383530841160337,0.4151822328567505,254.1803786754608
RandomForest,9,0.9265635660677736,0.8450360133142527,0.7692324300982403,0.805354411399034,0.9052417448560895,0.8492136262463752,0.1376733346123236,0.0942159378502414,0.7773888888888889,227.396288394928
XGBoost,9,0.9220747100295656,0.823567422861231,0.7705063154485587,0.7961537603462508,0.9060189393925452,0.8539194706334561,0.0323285937945114,0.0653288973606821,0.5704493522644043,6.229469537734985
GRU,9,0.9272728564930636,0.8152111462223499,0.8169419554499981,0.8160756331218434,0.9347329965716832,0.8761793460027195,0.0308216905862328,0.0598971937531961,0.5347061157226562,140.44720888137817
GAT,9,0.9424152831476006,0.9264085391739804,0.7695634963474757,0.8407334313548195,0.9171937872351752,0.8776097725568814,0.0227640540048345,0.0522350969429923,0.6087245941162109,177.30627942085266
RAVEN-X,9,0.9524377416420288,0.9357330513375522,0.8151642736334521,0.8712974110243974,0.9454159851398958,0.9150627964162584,0.0338940616516082,0.0514552383743114,0.8987135887145996,288.7662823200226
RAVEN-X-GF,9,0.952719183534228,0.9152077571033442,0.8382669401561769,0.8750493033669035,0.9436854279898952,0.9167295258712004,0.034212775310734,0.0466109205143525,0.7860397100448608,246.85782933235168
