Attack,RandomForest,XGBoost,GRU,GAT,RAVEN-X
Acceleration Multiplication,0.7231901000421298,0.7714958543721465,0.6944247505832971,0.8316095999836612,0.5997554220310447
Constant Position Offset,0.720847446608711,0.7402460715230776,0.7883769345070778,0.7637782270813215,0.8189836415775195
Constant Speed Offset,0.86052790101123,0.8889455714976594,0.8763217465430629,0.9107927974316034,0.9054964840848257
Data Replay,0.29921817596273026,0.29951861282060116,0.7420051971053959,0.26333633136649515,0.7675768335043275
DoS,0.8952406041514053,0.926515730414896,0.897413691580649,0.98325597847015,0.9622355176352076
Feigned Braking,0.7070900710126162,0.8040708263988243,0.7274474447456226,0.8901719977825228,0.7999185145291791
Position Mirroring,0.3381668192285074,0.3346255393709172,0.5855093821749839,0.3073322059465504,0.5741272943473822
Random Position Offset,0.891192931693909,0.9216834626280165,0.8919968335424282,0.9663519830659161,0.9451726701174336
Random Speed Offset,0.8812454560221096,0.9054412126440563,0.8761585273113605,0.9358161883386554,0.914806922114391
Reversed Heading,0.06997941275301338,0.057305056087172596,0.08630982064611599,0.009020375178564282,0.0276386425433915
Sudden Constant Speed,0.5131326900254466,0.5916303444959974,0.5071880004648005,0.7468889220569105,0.6740387308330603
Sudden Stop,0.7636626150657794,0.8198942952266045,0.6912477303052258,0.746637298962681,0.6853226918551555
Time Delay,0.08138628818151425,0.06229374189945747,0.0732499891067611,0.010835971761829058,0.03835247933583432
Traffic Congestion Sybil,0.9308635061517826,0.915870061939458,0.8963930562381791,0.9932710370875587,0.9857516517305512
Zero Speed Report,0.8923565426284364,0.9222155555696392,0.8829895942366518,0.9681579903234429,0.938129199921545
