Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Acceleration Multiplication,RandomForest,0,0.6944979661742667,0.7898709520331142,0.7391205285942128,0.8295122642736764,4107,44259
Constant Position Offset,RandomForest,0,0.8261954261954262,0.684385763490241,0.7486342229199372,0.8031276821164163,8710,44259
Constant Speed Offset,RandomForest,0,0.8661543387768171,0.9117977528089888,0.8883901691389786,0.9596008487063805,8900,44259
Data Replay,RandomForest,0,0.5637695637695638,0.193640626787144,0.2882683466712072,0.3474254800795631,8743,44259
DoS,RandomForest,0,0.8636028249183093,1.0,0.9268099547511313,0.9998949308413554,8193,44259
Feigned Braking,RandomForest,0,0.67651598676957,0.8775743707093822,0.7640393475283277,0.8837922387580992,3496,44259
Position Mirroring,RandomForest,0,0.6319342530085119,0.2238511124974007,0.330595009596929,0.43969236541597123,9618,44259
Random Position Offset,RandomForest,0,0.8678669193514424,0.9955314009661835,0.9273259084261447,0.9945952951229339,8280,44259
Random Speed Offset,RandomForest,0,0.8607339838778107,0.9667619728377412,0.9106722028952979,0.9786869861772786,8394,44259
Reversed Heading,RandomForest,0,0.8639315869235765,0.9652878567972908,0.911801667999543,0.9882769806379745,8268,44259
Sudden Constant Speed,RandomForest,0,0.4470266575529733,0.8325907065563335,0.5817211474316211,0.7475424209791675,1571,44259
Sudden Stop,RandomForest,0,0.7041974419023599,0.9921319796954314,0.8237277420714361,0.9500972588606873,3940,44259
Time Delay,RandomForest,0,0.18233438485804415,0.033294930875576036,0.056307842182172434,0.18544680505173683,8680,44259
Traffic Congestion Sybil,RandomForest,0,0.958552339112471,0.924839157310458,0.9413940109918332,0.9812511237934737,39635,83894
Zero Speed Report,RandomForest,0,0.8656947890818859,0.9956004756242568,0.9261143678796593,0.9938286169089907,8410,44259
Acceleration Multiplication,XGBoost,0,0.7588103483397841,0.9069880691502313,0.8263087843833186,0.9099147325092197,4107,44259
Constant Position Offset,XGBoost,0,0.8494097322199827,0.677382319173364,0.7537046499744506,0.8037083900349821,8710,44259
Constant Speed Offset,XGBoost,0,0.8936909545010316,0.9247191011235955,0.9089403059252306,0.9738859290785805,8900,44259
Data Replay,XGBoost,0,0.6139080043462514,0.19386938121926112,0.29468011126564675,0.3814104536233731,8743,44259
DoS,XGBoost,0,0.8853468770261509,1.0,0.9391872528228349,0.9999889297256235,8193,44259
Feigned Braking,XGBoost,0,0.7364206881627353,0.9733981693363845,0.8384871257853886,0.9712391243181182,3496,44259
Position Mirroring,XGBoost,0,0.6787173844702924,0.22447494281555416,0.33737010703961245,0.4601754646649966,9618,44259
Random Position Offset,XGBoost,0,0.8888768781753323,0.9931159420289855,0.9381096343619874,0.9975288606223173,8280,44259
Random Speed Offset,XGBoost,0,0.8845691820465218,0.9649749821300929,0.9230243290980571,0.9883125759882858,8394,44259
Reversed Heading,XGBoost,0,0.8850831194912417,0.9594823415578132,0.9207823109511927,0.988024472441097,8268,44259
Sudden Constant Speed,XGBoost,0,0.49982740766309974,0.9217059197963081,0.64816472694718,0.8926828281392394,1571,44259
Sudden Stop,XGBoost,0,0.7361354349095155,0.9601522842639594,0.8333516907148364,0.9001427084519905,3940,44259
Time Delay,XGBoost,0,0.19143968871595332,0.028341013824884794,0.049372804816859,0.1927320502481229,8680,44259
Traffic Congestion Sybil,XGBoost,0,0.9644034460788388,0.8783650813674783,0.9193757097208651,0.979529040765109,39635,83894
Zero Speed Report,XGBoost,0,0.8863298662704309,0.9929845422116528,0.936630776132795,0.9967570754356065,8410,44259
Acceleration Multiplication,GRU,0,0.6653166421207658,0.8799610421232043,0.7577314183876717,0.886237318389547,4107,44259
Constant Position Offset,GRU,0,0.8432254925808805,0.7959816303099885,0.8189227498228207,0.8737005928471817,8710,44259
Constant Speed Offset,GRU,0,0.8713978053532971,0.9547191011235955,0.9111575786821082,0.9846276402711629,8900,44259
Data Replay,GRU,0,0.8156670438828115,0.7419650005718861,0.7770723526593196,0.8274868510897084,8743,44259
DoS,GRU,0,0.8650617675007919,1.0,0.9276494565217391,0.9998674648069089,8193,44259
Feigned Braking,GRU,0,0.675786035116374,0.9467963386727689,0.7886585656421253,0.9389604917225783,3496,44259
Position Mirroring,GRU,0,0.7942777173067952,0.5310875441879809,0.6365505638980622,0.7513228506585105,9618,44259
Random Position Offset,GRU,0,0.8657844990548205,0.9956521739130435,0.9261880687563195,0.9976486316651351,8280,44259
Random Speed Offset,GRU,0,0.8605906637027628,0.9685489635453896,0.911383891037498,0.9883850141899142,8394,44259
Reversed Heading,GRU,0,0.8567273510718517,0.9619013062409288,0.9062731468292405,0.9883093652336759,8268,44259
Sudden Constant Speed,GRU,0,0.46364221364221364,0.9172501591343094,0.61594357768754,0.8957591233381516,1571,44259
Sudden Stop,GRU,0,0.6994356453668306,0.9751269035532995,0.8145870878829641,0.9424253168594068,3940,44259
Time Delay,GRU,0,0.16729323308270677,0.03076036866359447,0.05196574542623589,0.18314609419535294,8680,44259
Traffic Congestion Sybil,GRU,0,0.9558835724355254,0.8724864387536269,0.9122830158813908,0.9667169575671836,39635,83894
Zero Speed Report,GRU,0,0.8633919338159255,0.9927467300832342,0.9235619469026549,0.995134706914317,8410,44259
Acceleration Multiplication,GAT,0,0.8222274546738875,0.8502556610664719,0.8360067033756284,0.9140191346812374,4107,44259
Constant Position Offset,GAT,0,0.9521231602097784,0.6461538461538462,0.7698515833390329,0.7879856187170887,8710,44259
Constant Speed Offset,GAT,0,0.9690873405299313,0.8876404494382022,0.9265775275627492,0.9610264426283927,8900,44259
Data Replay,GAT,0,0.7759381898454746,0.16081436577833697,0.26641402179062057,0.41841592558844276,8743,44259
DoS,GAT,0,0.9738499940568168,1.0,0.9867517764663375,0.9999999255323757,8193,44259
Feigned Braking,GAT,0,0.8710359408033826,0.9427917620137299,0.9054945054945055,0.9670402624212374,3496,44259
Position Mirroring,GAT,0,0.8452207666181465,0.18111873570388853,0.29831321174758113,0.5102252443048763,9618,44259
Random Position Offset,GAT,0,0.9672622616620697,0.9741545893719806,0.9706961911065648,0.9931285733681737,8280,44259
Random Speed Offset,GAT,0,0.9627606752730884,0.9239933285680247,0.9429787234042554,0.9734352864247219,8394,44259
