Attack,Precision,Recall,F1
Acceleration Multiplication,0.6932510244475988,0.5385926467007548,0.5997554220310447
Constant Position Offset,0.8832371322708029,0.7644087256027555,0.8189836415775195
Constant Speed Offset,0.9204766471844339,0.8916479400749063,0.9054964840848257
Data Replay,0.8755834928507915,0.6846238895878608,0.7675768335043275
DoS,0.9277490947573117,1.0,0.9622355176352076
Feigned Braking,0.775378916380066,0.831140350877193,0.7999185145291791
Position Mirroring,0.8293062172299973,0.4404935190961392,0.5741272943473822
Random Position Offset,0.9162432884384296,0.9765700483091787,0.9451726701174336
Random Speed Offset,0.9113845383117045,0.9187912000635374,0.914806922114391
Reversed Heading,0.1267345860928866,0.015763586518303497,0.0276386425433915
Sudden Constant Speed,0.5619938387504028,0.8518990027583281,0.6740387308330603
Sudden Stop,0.7220161694449304,0.6598984771573604,0.6853226918551555
Time Delay,0.1840299516678159,0.021774193548387097,0.03835247933583432
Traffic Congestion Sybil,0.9742952515615748,0.9975526680963794,0.9857516517305512
Zero Speed Report,0.924866159237426,0.9522393975426079,0.938129199921545
