Model,Seed,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,Threshold,TrainTime_s
RandomForest,0,0.9258457471002957,0.8394301628776618,0.7722552088956062,0.8044427617694577,0.9043313019051706,0.853802951891667,0.11114136862228642,0.0799187969773772,0.7208303522598519,178.58345222473145
XGBoost,0,0.9294504775983625,0.8627796643215754,0.7643528014682068,0.8105892634302527,0.9051871935283112,0.8578582251445093,0.02017632878939046,0.059492167708304546,0.5560292601585388,8.264270782470703
GRU,0,0.9353238003183989,0.8424011022029402,0.8272985713771637,0.8347815351544486,0.939572071678419,0.894368025235764,0.021199573186298837,0.052605254655345574,0.5507704615592957,233.91073513031006
GAT,0,0.9462886627245849,0.9472376472252679,0.7709885206376624,0.8500736003047171,0.9182280767751956,0.8810401107714118,0.013576779194455367,0.04820819997116137,0.5742460489273071,219.32993412017822
RAVEN-X,0,0.9549806686377075,0.9333107131027686,0.8314656878621037,0.8794494686519899,0.9456292207317238,0.9180713629864481,0.023384798676281654,0.04370906661937591,0.8474395275115967,495.3166995048523
RandomForest,1,0.9261442460768706,0.8414161237145773,0.7714419374572673,0.8049111081908124,0.9044337211284332,0.8541705190452407,0.11085332859601092,0.07978168702267395,0.7234610238052156,176.17968940734863
XGBoost,1,0.9298015692517626,0.8818137635252087,0.7443232933894707,0.8072560942293132,0.9054566689393932,0.8579560447682655,0.01595155670621477,0.058824736220792616,0.6103420257568359,7.015546798706055
GRU,1,0.9320218330680009,0.8296159105214038,0.8253049767893771,0.8274548288402701,0.9375639711140014,0.888021077472177,0.019014805225380196,0.05382183704305546,0.4932616353034973,237.09274339675903
GAT,1,0.9427749033431886,0.9295327135345938,0.7685127208607723,0.8413882224087054,0.915552333110003,0.8761848883096298,0.014761701203555027,0.05052444574714172,0.5167539715766907,197.23536109924316
RAVEN-X,1,0.9545656129178985,0.9366749663251561,0.825779984886106,0.8777386780905753,0.9473224032086087,0.918267033536255,0.024097542418574716,0.04469125252293962,0.8261539340019226,573.07044672966
RandomForest,2,0.9268705935865362,0.8471414401904384,0.7683687790132786,0.8058346227874854,0.9042322353547938,0.8544559224141979,0.11042772608349954,0.07962249434917237,0.7308307893277113,175.9692826271057
XGBoost,2,0.9302322606322493,0.8631668283220174,0.768584691784519,0.813134601107875,0.9056646754004656,0.8582628083936498,0.01732131489069104,0.058895688148090986,0.5227409601211548,7.697559833526611
GRU,2,0.9330935865362747,0.8394053802448521,0.817668861779841,0.8283945576247211,0.9393390331991214,0.8909674411114072,0.013166046549271882,0.05305861843263005,0.4482242465019226,232.3178243637085
GAT,2,0.9466582328860587,0.9507626937846679,0.769779409118716,0.8507522639505888,0.9166453271427695,0.8785841145643112,0.015783386727183296,0.04830223945528341,0.5739949345588684,267.16964411735535
RAVEN-X,2,0.9556899590629975,0.9406987585259335,0.8278311562128899,0.8806633514407451,0.94603182264363,0.918999839697539,0.015978915364468153,0.04000393054921075,0.7329071760177612,412.38672852516174
