Attack,RandomForest,XGBoost,GRU,GAT,RAVEN-X,RAVEN-X-GF
Acceleration Multiplication,0.742760953545455,0.7792906600334938,0.7301863498754532,0.8193891774090069,0.6430404468302916,0.7767559232054785
Constant Position Offset,0.7458403833115471,0.7450444645997715,0.818767877237783,0.7569137127723561,0.8243148372299398,0.8314443194163997
Constant Speed Offset,0.8809881735104538,0.8872269675496017,0.9097310007347557,0.9162745806716884,0.9287866892404919,0.9294301134873866
Data Replay,0.3627427331766575,0.35115191060098555,0.7830770439840062,0.2747503872847949,0.793192691183879,0.7822027375178285
DoS,0.9229016521694211,0.9226197046462925,0.9283599417118524,0.9816700959572563,0.968685930616782,0.9630813518826767
Feigned Braking,0.741847026618229,0.7999687619582948,0.7892879887313481,0.8870616245457401,0.8381630229589438,0.8390872535583483
Position Mirroring,0.31391098454034805,0.3199545454187495,0.6062736206188295,0.2758967568865916,0.5842329702592465,0.6294100632730572
Random Position Offset,0.9213435462861241,0.9212257754963646,0.9269310655651409,0.9660146556647179,0.952831084700402,0.9503040790406162
Random Speed Offset,0.9072112675186338,0.9035459596504148,0.9120516818681192,0.9363485953435101,0.9305599355090317,0.9290702216667587
Reversed Heading,0.9115344294439458,0.9081225768798199,0.9103477701166932,0.9442242121968271,0.9310079371519241,0.9266534617186406
Sudden Constant Speed,0.5645571942614791,0.5909177788500912,0.600056618447398,0.7201456627815569,0.7177005851566082,0.707670733075697
Sudden Stop,0.8100657699748108,0.8139378764640023,0.7688404441065785,0.6931247177278236,0.7332336764910119,0.820965963899209
Time Delay,0.0596640656575502,0.05760539994795811,0.05090798575990966,0.013654780511431479,0.026968930080630563,0.019199257229930506
Traffic Congestion Sybil,0.9412954092498729,0.9180750294341613,0.9145170815006168,0.9936858139305932,0.9861526154702577,0.9886142472665038
Zero Speed Report,0.9224457856044194,0.919863607705096,0.916295573323881,0.9591721292359159,0.9436384442140936,0.9431579615366047
