Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Acceleration Multiplication,RandomForest,0,0.7035263387026557,0.7869491112734356,0.7429031145845305,0.8223657260579447,4107,44259
Constant Position Offset,RandomForest,0,0.8337779025691422,0.6818599311136625,0.7502052674793154,0.8026594970800358,8710,44259
Constant Speed Offset,RandomForest,0,0.8714036617262424,0.8984269662921348,0.884709006417349,0.9411784962088553,8900,44259
Data Replay,RandomForest,0,0.6404298576822538,0.2522017614091273,0.361890694239291,0.41668025279931886,8743,44259
DoS,RandomForest,0,0.8689150493159402,1.0,0.9298604017705141,0.9978320416842338,8193,44259
Feigned Braking,RandomForest,0,0.6764842300556586,0.8343821510297483,0.7471823770491803,0.8530042685684606,3496,44259
Position Mirroring,RandomForest,0,0.6178887484197219,0.20326471199833646,0.3058989203567517,0.40336701065634717,9618,44259
Random Position Offset,RandomForest,0,0.8705295553433089,0.9907004830917875,0.926735581539852,0.9885397628530291,8280,44259
Random Speed Offset,RandomForest,0,0.8668743956162028,0.9611627352871098,0.9115869159934467,0.9714258792061594,8394,44259
Reversed Heading,RandomForest,0,0.8696170951296236,0.9696419932268989,0.9169097043518042,0.9879730446465478,8268,44259
Sudden Constant Speed,RandomForest,0,0.4550379198266522,0.8020369191597708,0.5806451612903226,0.7257926065803108,1571,44259
Sudden Stop,RandomForest,0,0.7102473498233216,0.9692893401015228,0.8197917784694644,0.9131799705172141,3940,44259
Time Delay,RandomForest,0,0.1889920424403183,0.032834101382488476,0.05594817432273263,0.18200587210416974,8680,44259
Traffic Congestion Sybil,RandomForest,0,0.9601616780704304,0.9169925570833859,0.938080735081561,0.9773173416659391,39635,83894
Zero Speed Report,RandomForest,0,0.8724628583385645,0.9915576694411415,0.9282056990204809,0.9904895698538919,8410,44259
Acceleration Multiplication,XGBoost,0,0.6887553970339778,0.8933528122717312,0.7778248887004452,0.9064299644433498,4107,44259
Constant Position Offset,XGBoost,0,0.8136450642603227,0.6832376578645235,0.7427608587119321,0.8050527166910367,8710,44259
Constant Speed Offset,XGBoost,0,0.8545416271971371,0.912247191011236,0.8824520406499646,0.9644032349413665,8900,44259
Data Replay,XGBoost,0,0.5961381561055208,0.250714857600366,0.3529790660225443,0.4489873685713226,8743,44259
DoS,XGBoost,0,0.8478733312635828,1.0,0.9176747311827957,0.999999686807786,8193,44259
Feigned Braking,XGBoost,0,0.6681214044832374,0.9633867276887872,0.7890359611104604,0.9603015247415183,3496,44259
Position Mirroring,XGBoost,0,0.5880851063829787,0.2155333749220212,0.31545309290116413,0.43614659942163264,9618,44259
Random Position Offset,XGBoost,0,0.8537652327882512,0.989975845410628,0.9168391029584475,0.9967015739768488,8280,44259
Random Speed Offset,XGBoost,0,0.8449937159614579,0.9611627352871098,0.8993423252703154,0.9845971956540914,8394,44259
Reversed Heading,XGBoost,0,0.8519033361847733,0.9635945815191098,0.9043132803632236,0.9879219013396354,8268,44259
Sudden Constant Speed,XGBoost,0,0.4210217263652378,0.9127943984723106,0.5762507534659433,0.8683336877603514,1571,44259
Sudden Stop,XGBoost,0,0.6849554429495021,0.9949238578680203,0.811342233260892,0.9204270794004503,3940,44259
Time Delay,XGBoost,0,0.1758055398530243,0.035829493087557604,0.059527227485883814,0.18175025047476015,8680,44259
Traffic Congestion Sybil,XGBoost,0,0.9522085640956369,0.8892645389176234,0.9196607958251793,0.9749798903374675,39635,83894
Zero Speed Report,XGBoost,0,0.8496439471007121,0.993103448275862,0.9157894736842105,0.9956130371662688,8410,44259
Acceleration Multiplication,GRU,0,0.6565733997700268,0.8341855368882396,0.734798927613941,0.8469277988890016,4107,44259
Constant Position Offset,GRU,0,0.8418161845477847,0.7918484500574052,0.8160681535822043,0.8788760839748718,8710,44259
Constant Speed Offset,GRU,0,0.8670071501532176,0.9537078651685393,0.9082932049224184,0.9842769416678561,8900,44259
Data Replay,GRU,0,0.8170480687734593,0.7718174539631706,0.7937889660039995,0.8632895888635037,8743,44259
DoS,GRU,0,0.8599769077359085,1.0,0.9247178329571106,0.9999994039732558,8193,44259
Feigned Braking,GRU,0,0.6778453154474953,0.9250572082379863,0.7823878069432684,0.9387665595489081,3496,44259
Position Mirroring,GRU,0,0.7766289184309864,0.49199417758369723,0.6023804977404367,0.708802433680921,9618,44259
Random Position Offset,GRU,0,0.8635792120704108,0.9954106280193237,0.9248204667863554,0.9976485598365307,8280,44259
