Model,Seed,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,Threshold,TrainTime_s
RandomForest,0,0.9265777803047532,0.8456932398716882,0.7684551441217748,0.8052262443438915,0.9052166776539208,0.8487239134370393,0.1379920708778804,0.09452315050299198,0.7778436140313075,236.28245329856873
XGBoost,0,0.9216553900386627,0.8216928130660363,0.7705207096333081,0.7952844519883968,0.9061998498318055,0.8544705382223364,0.03169420760789788,0.06514641776704952,0.5640228390693665,6.445307731628418
GRU,0,0.9336834773709347,0.8386788990825688,0.8224117456547555,0.8304656697977798,0.937061789705515,0.888488254074269,0.01491149269413052,0.05310806522921928,0.4271000325679779,121.68996405601501
GAT,0,0.943693143052081,0.9415854612703606,0.762186476663428,0.8424410441616915,0.9140665158795662,0.8747531628772746,0.017524545166615203,0.05055435038086934,0.5494704842567444,136.70120549201965
RAVEN-X,0,0.9492395383215829,0.9138497803149354,0.8203173917737234,0.8645612491419166,0.9438837496561896,0.9119704925714766,0.028589633540212236,0.04990891190578068,0.8467250466346741,252.26394891738892
RAVEN-X-GF,0,0.9549010689106209,0.9220310962408974,0.84293065601497,0.8807083505658533,0.9455111105786778,0.9199353045082734,0.022429519651240765,0.03934201421664402,0.4741135835647583,224.2694787979126
RandomForest,1,0.9268123152149192,0.8465031141539485,0.7688437871100076,0.8058066779058848,0.9057305102890671,0.8485988784128055,0.13700653566319554,0.09357040312344722,0.7747494818944679,231.69241213798523
XGBoost,1,0.9251108710484421,0.8408665207185705,0.7657274461117708,0.8015398871452571,0.9067416635625362,0.8564686495980927,0.031642366452833096,0.06399029436299858,0.5944704413414001,7.339348077774048
GRU,1,0.9354375142142369,0.8605730676701006,0.8032386915686063,0.8309180182628344,0.940066607067807,0.894759470344116,0.03276286174696022,0.056294781542209266,0.7059216499328613,128.6072018146515
GAT,1,0.9426242324312031,0.9280355002865728,0.7691316708049948,0.841144593249088,0.9166454799762114,0.8767855125937326,0.018188839361406455,0.05128865859462917,0.541655421257019,140.05982661247253
RAVEN-X,1,0.9536161018876507,0.9366216271715471,0.8206772463924574,0.8748245042003913,0.9468949778389517,0.9172590945533113,0.02609225529392074,0.04628658073225609,0.8949267864227295,262.4440610408783
RAVEN-X-GF,1,0.9498479076643166,0.8971845880333497,0.8426283781352334,0.8690511095193382,0.9441876208267894,0.9162014250769456,0.05178739733573355,0.0516709311583879,0.7651382088661194,371.6695017814636
RandomForest,2,0.9211323061178076,0.8092852272390383,0.7858649105761273,0.7974031379966334,0.9053381497921247,0.8492865615870979,0.13741520948555844,0.09436197866877252,0.7233954805294396,229.46400570869446
XGBoost,2,0.9227171935410508,0.8282859649259003,0.767886573824175,0.7969435086906834,0.9068518137435262,0.8558259443711697,0.032856576858659836,0.06519974141095242,0.5822176337242126,7.540844917297363
GRU,2,0.9343728678644531,0.8341292650776844,0.8334448882651408,0.8337869362363919,0.9408715048040576,0.8972669877801892,0.0157236776338822,0.05106023844166694,0.42524975538253784,160.65521502494812
GAT,2,0.9438523425062543,0.9357679970552664,0.7684551441217748,0.8438985642983319,0.9165708809202344,0.8774196756648289,0.02136890587572404,0.05103712932509134,0.605563223361969,153.56353974342346
RAVEN-X,2,0.947108824198317,0.8996032837110648,0.8241750332865523,0.8602388822115384,0.9435536689716786,0.9104974055157564,0.047288545343589845,0.058721856055470235,0.900602400302887,359.68186473846436
RAVEN-X-GF,2,0.9511712531271321,0.9124232076528158,0.8326891935657994,0.8707346809759622,0.9436598088204895,0.915914161749591,0.03867421204024916,0.04932925529024228,0.8613633513450623,319.7956256866455
