Attack,gate on benign,gate on attacks
Acceleration Multiplication,0.7095663150151571,0.70268181959788
Constant Position Offset,0.7045198678970337,0.7324283719062805
Constant Speed Offset,0.7080485026041666,0.7747248411178589
Data Replay,0.7072963714599609,0.762355625629425
DoS,0.6992944081624349,0.564696212609609
Feigned Braking,0.7054596543312073,0.6021867394447327
Position Mirroring,0.7097318768501282,0.7805026173591614
Random Position Offset,0.7029007077217102,0.7138703465461731
Random Speed Offset,0.7080389062563578,0.7528571089108785
Reversed Heading,0.708095928033193,0.686818798383077
Sudden Constant Speed,0.7089915871620178,0.7203330993652344
Sudden Stop,0.7088406483332316,0.7496617635091146
Time Delay,0.709214965502421,0.7058152556419373
Traffic Congestion Sybil,0.7061172525087992,0.3855571548144023
Zero Speed Report,0.7057140072186788,0.7214167316754659
