Attack,Model,Seed,label,gate
Acceleration Multiplication,RAVEN-X-GF,0,0,0.6949024200439453
Acceleration Multiplication,RAVEN-X-GF,0,1,0.6948986649513245
Constant Position Offset,RAVEN-X-GF,0,0,0.6849254965782166
Constant Position Offset,RAVEN-X-GF,0,1,0.7160714864730835
Constant Speed Offset,RAVEN-X-GF,0,0,0.6940298676490784
Constant Speed Offset,RAVEN-X-GF,0,1,0.7536383271217346
Data Replay,RAVEN-X-GF,0,0,0.6916511058807373
Data Replay,RAVEN-X-GF,0,1,0.7525140643119812
DoS,RAVEN-X-GF,0,0,0.6861329078674316
DoS,RAVEN-X-GF,0,1,0.551985502243042
Feigned Braking,RAVEN-X-GF,0,0,0.6941365003585815
Feigned Braking,RAVEN-X-GF,0,1,0.5743448138237
Position Mirroring,RAVEN-X-GF,0,0,0.6939788460731506
Position Mirroring,RAVEN-X-GF,0,1,0.7568228244781494
Random Position Offset,RAVEN-X-GF,0,0,0.6899104714393616
Random Position Offset,RAVEN-X-GF,0,1,0.6952050924301147
Random Speed Offset,RAVEN-X-GF,0,0,0.6936650276184082
Random Speed Offset,RAVEN-X-GF,0,1,0.7590785026550293
Reversed Heading,RAVEN-X-GF,0,0,0.693229615688324
Reversed Heading,RAVEN-X-GF,0,1,0.6518034338951111
Sudden Constant Speed,RAVEN-X-GF,0,0,0.6936033964157104
Sudden Constant Speed,RAVEN-X-GF,0,1,0.7234094738960266
Sudden Stop,RAVEN-X-GF,0,0,0.6914327144622803
Sudden Stop,RAVEN-X-GF,0,1,0.7131378650665283
Time Delay,RAVEN-X-GF,0,0,0.6923930644989014
Time Delay,RAVEN-X-GF,0,1,0.6894386410713196
Traffic Congestion Sybil,RAVEN-X-GF,0,0,0.6891816854476929
Traffic Congestion Sybil,RAVEN-X-GF,0,1,0.32933661341667175
Zero Speed Report,RAVEN-X-GF,0,0,0.6919607520103455
Zero Speed Report,RAVEN-X-GF,0,1,0.7328078746795654
Acceleration Multiplication,RAVEN-X-GF,1,0,0.7051040530204773
Acceleration Multiplication,RAVEN-X-GF,1,1,0.7300003170967102
Constant Position Offset,RAVEN-X-GF,1,0,0.7002030611038208
Constant Position Offset,RAVEN-X-GF,1,1,0.7203868627548218
Constant Speed Offset,RAVEN-X-GF,1,0,0.7015559673309326
Constant Speed Offset,RAVEN-X-GF,1,1,0.7720690965652466
Data Replay,RAVEN-X-GF,1,0,0.7006133794784546
Data Replay,RAVEN-X-GF,1,1,0.7536539435386658
DoS,RAVEN-X-GF,1,0,0.6923449039459229
DoS,RAVEN-X-GF,1,1,0.5617595911026001
Feigned Braking,RAVEN-X-GF,1,0,0.6998504400253296
Feigned Braking,RAVEN-X-GF,1,1,0.7292315363883972
Position Mirroring,RAVEN-X-GF,1,0,0.7045869827270508
Position Mirroring,RAVEN-X-GF,1,1,0.7903136610984802
Random Position Offset,RAVEN-X-GF,1,0,0.6941258907318115
Random Position Offset,RAVEN-X-GF,1,1,0.7028219103813171
Random Speed Offset,RAVEN-X-GF,1,0,0.7015649080276489
Random Speed Offset,RAVEN-X-GF,1,1,0.7666656374931335
Reversed Heading,RAVEN-X-GF,1,0,0.7042610049247742
Reversed Heading,RAVEN-X-GF,1,1,0.7843624949455261
Sudden Constant Speed,RAVEN-X-GF,1,0,0.7041311860084534
Sudden Constant Speed,RAVEN-X-GF,1,1,0.6941639184951782
Sudden Stop,RAVEN-X-GF,1,0,0.7051212787628174
Sudden Stop,RAVEN-X-GF,1,1,0.7971409559249878
Time Delay,RAVEN-X-GF,1,0,0.7038998603820801
Time Delay,RAVEN-X-GF,1,1,0.7000217437744141
Traffic Congestion Sybil,RAVEN-X-GF,1,0,0.7007490992546082
Traffic Congestion Sybil,RAVEN-X-GF,1,1,0.4074978828430176
Zero Speed Report,RAVEN-X-GF,1,0,0.7000666260719299
Zero Speed Report,RAVEN-X-GF,1,1,0.6779669523239136
Acceleration Multiplication,RAVEN-X-GF,2,0,0.7286924719810486
Acceleration Multiplication,RAVEN-X-GF,2,1,0.6831464767456055
Constant Position Offset,RAVEN-X-GF,2,0,0.7284310460090637
Constant Position Offset,RAVEN-X-GF,2,1,0.7608267664909363
Constant Speed Offset,RAVEN-X-GF,2,0,0.728559672832489
Constant Speed Offset,RAVEN-X-GF,2,1,0.7984670996665955
Data Replay,RAVEN-X-GF,2,0,0.7296246290206909
Data Replay,RAVEN-X-GF,2,1,0.7808988690376282
DoS,RAVEN-X-GF,2,0,0.7194054126739502
DoS,RAVEN-X-GF,2,1,0.5803435444831848
Feigned Braking,RAVEN-X-GF,2,0,0.7223920226097107
Feigned Braking,RAVEN-X-GF,2,1,0.5029838681221008
Position Mirroring,RAVEN-X-GF,2,0,0.7306298017501831
Position Mirroring,RAVEN-X-GF,2,1,0.7943713665008545
Random Position Offset,RAVEN-X-GF,2,0,0.7246657609939575
Random Position Offset,RAVEN-X-GF,2,1,0.7435840368270874
Random Speed Offset,RAVEN-X-GF,2,0,0.7288867831230164
