Model,Seed,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,Threshold,TrainTime_s
RandomForest,0,0.9337761811157053,0.9776822615308316,0.6789896670493686,0.8014093095738194,0.8668609528110792,0.8183936831524768,0.03152759412639974,0.0622049088050706,0.6004444444444444,7.842969179153442
XGBoost,0,0.933572832644208,0.9811541027351568,0.675430539609644,0.8000815993472052,0.8702996727177142,0.8211026785249116,0.02694236023978239,0.06142000412588555,0.6583775281906128,0.2867438793182373
GRU,0,0.9577938950270002,0.995653433787308,0.7889781859931113,0.8803484499103253,0.9099401098317457,0.8818710266886332,0.033984093714801135,0.04052796450409344,0.6134071946144104,12.212815999984741
GAT,0,0.9274045956754559,0.9557287348698391,0.6617680826636051,0.7820364968455329,0.8420716716458604,0.7948518590229156,0.01731606776070215,0.06475386174786704,0.43095889687538147,4.797179698944092
RAVEN-X,0,0.9536591427732213,0.9686136523574947,0.790126291618829,0.8703129939930446,0.9110180014138729,0.8821690966380278,0.020915481918584104,0.04348099586225653,0.5210627913475037,16.380245447158813
RandomForest,1,0.9322171761675592,0.9649837133550488,0.6802525832376579,0.797979797979798,0.8668780844499204,0.8187348809752701,0.03138064275464222,0.06239069282989762,0.5503373015873018,7.695831060409546
XGBoost,1,0.9330305700535484,0.9691378184193338,0.6814006888633755,0.8001887555615478,0.8714695235266379,0.8220550887839829,0.02614248958086862,0.06082687209529272,0.540043830871582,0.29093384742736816
GRU,1,0.9556926274881945,0.9863092664649085,0.7857634902411021,0.8746884784970286,0.9138715278557152,0.8829920801119695,0.03302859792526192,0.04198743240244394,0.5820379257202148,6.983640193939209
GAT,1,0.9264556361418017,0.951946975973488,0.6595866819747417,0.7792472024415056,0.8473196033908533,0.7973281747441981,0.022339205235184262,0.06525815170820226,0.4949228763580322,5.348630666732788
RAVEN-X,1,0.9527779660633995,0.9871945834559905,0.7700344431687716,0.8651960784313726,0.9066799261794145,0.8757034345621334,0.013143685293366241,0.04473019386749918,0.2226116806268692,13.60974669456482
RandomForest,2,0.933934341037981,0.9791321629678702,0.678760045924225,0.801735828586927,0.8683768355955956,0.8192327962585164,0.0322250962717878,0.06219685260800032,0.6254312169312168,7.937207937240601
XGBoost,2,0.9335502383695972,0.977645305514158,0.6778415614236509,0.800596650620381,0.8673279558923843,0.8191611265154919,0.02705791434198002,0.061445598650879375,0.6304265856742859,0.31414294242858887
GRU,2,0.9576809236539461,0.9930765902206837,0.7904707233065442,0.8802659336444416,0.9108285925679658,0.8833833981369389,0.03438052731619812,0.04081163163398317,0.49811458587646484,15.140926599502563
GAT,2,0.9265234189656341,0.9534729145895646,0.6587830080367394,0.7791960890820206,0.8427672865890159,0.7963639012440865,0.030413420119386237,0.06649538938625989,0.5190157890319824,3.7407188415527344
RAVEN-X,2,0.9558281931358594,0.9880075133651206,0.7850746268656716,0.8749280276373872,0.9132904893260476,0.8830463675076554,0.02240241295255613,0.04172462822719608,0.30913013219833374,16.37804126739502
